"objeto","tipo","situacao","chars_prod","chars_homo"
"fva_IntervaloNum","SQL_SCALAR_FUNCTION","so em PRODUCAO","293",""
"fva_IntervaloNumX","SQL_SCALAR_FUNCTION","so em PRODUCAO","329",""
"fva_QryDiaUtil","SQL_SCALAR_FUNCTION","so em PRODUCAO","673",""
"fva_RemoveCRLF","SQL_SCALAR_FUNCTION","so em PRODUCAO","177",""
"fva_SequenciaAuto","SQL_STORED_PROCEDURE","so em PRODUCAO","639",""
"fva_SequenciaGet","SQL_STORED_PROCEDURE","so em PRODUCAO","639",""
"fva_SoNro","SQL_SCALAR_FUNCTION","so em PRODUCAO","487",""
"fva_StrMaskLGPD","SQL_SCALAR_FUNCTION","so em PRODUCAO","663",""
"fva_TruncDate","SQL_SCALAR_FUNCTION","so em PRODUCAO","159",""
"fva_UnFormatCGCCPF","SQL_SCALAR_FUNCTION","so em PRODUCAO","303",""
"GE$CONTATO_FULL","VIEW","TEXTO DIFERENTE","1031","0"
"GE$CONTATO_LGPD","VIEW","TEXTO DIFERENTE","1380","0"
"GE$EMAIL_FULL","VIEW","TEXTO DIFERENTE","378","0"
"GE$EMAIL_LGPD","VIEW","TEXTO DIFERENTE","719","0"
"GE$MODULOPERM","VIEW","TEXTO DIFERENTE","418","0"
"GE$OBJDINAMICO","VIEW","TEXTO DIFERENTE","1287","0"
"GE$PESSOA","VIEW","TEXTO DIFERENTE","2141","0"
"GE$PESSOA_FULL","VIEW","TEXTO DIFERENTE","2033","0"
"GE$PESSOA_LGPD","VIEW","TEXTO DIFERENTE","3289","0"
"GE$PESSOAEND_FULL","VIEW","TEXTO DIFERENTE","623","0"
"GE$PESSOAEND_LGPD","VIEW","TEXTO DIFERENTE","1041","0"
"GE$PESSOAENDCORR","VIEW","TEXTO DIFERENTE","1964","0"
"GE$PESSOAFONE_FULL","VIEW","TEXTO DIFERENTE","449","0"
"GE$PESSOAFONE_LGPD","VIEW","TEXTO DIFERENTE","694","0"
"GE$POLSEGPERM","VIEW","TEXTO DIFERENTE","542","0"
"GE$USUARIOPERM","VIEW","TEXTO DIFERENTE","443","0"
"GEL$CIDADE","VIEW","TEXTO DIFERENTE","280","0"
"GEL$LOGRADOURO","VIEW","TEXTO DIFERENTE","566","0"
"GEL$TIPOLOGRADOURO","VIEW","TEXTO DIFERENTE","189","0"
"GEL$UF","VIEW","TEXTO DIFERENTE","78","0"
"IMPV_VEICULO","VIEW","TEXTO DIFERENTE","1885","0"
"IV$_PONTUACAO","VIEW","TEXTO DIFERENTE","8586","0"
"IV$A_BENEFICIO","VIEW","TEXTO DIFERENTE","136","0"
"IV$A_CAMPANHA_AGRISHOW_2012","VIEW","TEXTO DIFERENTE","175","0"
"IV$A_COR_PREFERIDO","VIEW","TEXTO DIFERENTE","148","0"
"IV$A_PERFIL_CLIENTE_SERVICOS","VIEW","TEXTO DIFERENTE","178","0"
"IV$A_PERSONA_JOHN_DEERE","VIEW","TEXTO DIFERENTE","163","0"
"IV$A_POTENCIAL_CARTEIRA_PECAS","VIEW","TEXTO DIFERENTE","181","0"
"IV$A_PROJETO_CULTIVAR","VIEW","TEXTO DIFERENTE","157","0"
"IV$A_TIME_PREFERIDO","VIEW","TEXTO DIFERENTE","151","0"
"IV$ATIVREQUISITO","VIEW","TEXTO DIFERENTE","984","0"
"IV$DADOS_PESSOA_COMPLETA","VIEW","TEXTO DIFERENTE","1897","0"
"IV$DOITRES","VIEW","TEXTO DIFERENTE","924","0"
"IV$FICHANEG","VIEW","TEXTO DIFERENTE","2734","0"
"IV$HISTORICO","VIEW","TEXTO DIFERENTE","1276","0"
"IV$NFITEM","VIEW","TEXTO DIFERENTE","661","0"
"IV$NFSAIDA","VIEW","TEXTO DIFERENTE","662","0"
"IV$NFSCMPL","VIEW","TEXTO DIFERENTE","248","0"
"IV$OPERADOR","VIEW","TEXTO DIFERENTE","619","0"
"IV$OPERGRUPO","VIEW","TEXTO DIFERENTE","782","0"
"IV$OrdemServico","VIEW","TEXTO DIFERENTE","1961","0"
"IV$OSItem","VIEW","TEXTO DIFERENTE","442","0"
"IV$OSSolicitacao","VIEW","TEXTO DIFERENTE","344","0"
"IV$P_AGRICULTURA_PRECISAO","VIEW","TEXTO DIFERENTE","415","0"
"IV$P_CNAE","VIEW","TEXTO DIFERENTE","365","0"
"IV$P_COLHEDORA_DE_CANA","VIEW","TEXTO DIFERENTE","433","0"
"IV$P_COLHEITADEIRA_GRAOS","VIEW","TEXTO DIFERENTE","518","0"
"IV$P_CONTRATO_GFC","VIEW","TEXTO DIFERENTE","423","0"
"IV$P_DISTRIBUIDORA","VIEW","TEXTO DIFERENTE","392","0"
"IV$P_EQUIPAMENTO_SISDIA","VIEW","TEXTO DIFERENTE","758","0"
"IV$P_EQUIPAMENTOS","VIEW","TEXTO DIFERENTE","447","0"
"IV$P_EQUIPAMENTOS_MANITOU","VIEW","TEXTO DIFERENTE","453","0"
"IV$P_EQUIPAMENTOS_NOVO","VIEW","TEXTO DIFERENTE","452","0"
"IV$P_EQUIPAMENTOS111","VIEW","TEXTO DIFERENTE","449","0"
"IV$P_FENO_E_FORRAGEM","VIEW","TEXTO DIFERENTE","409","0"
"IV$P_FROTA","VIEW","so em PRODUCAO","364",""
"IV$P_IMPLEMENTO","VIEW","TEXTO DIFERENTE","405","0"
"IV$P_LOCACAO","VIEW","TEXTO DIFERENTE","632","0"
"IV$P_NJUR","VIEW","TEXTO DIFERENTE","365","0"
"IV$P_NO_AGRICULTURA_PREC","VIEW","TEXTO DIFERENTE","437","0"
"IV$P_NO_AREA_PLANTADA","VIEW","TEXTO DIFERENTE","442","0"
"IV$P_NO_AREA_TOTAL","VIEW","TEXTO DIFERENTE","614","0"
"IV$P_NO_CHACARA","VIEW","TEXTO DIFERENTE","450","0"
"IV$P_NO_COLHEDORA_DE_CAN","VIEW","TEXTO DIFERENTE","436","0"
"IV$P_NO_COLHEITADEIRA_GR","VIEW","TEXTO DIFERENTE","519","0"
"IV$P_NO_CONSORCIO","VIEW","TEXTO DIFERENTE","391","0"
"IV$P_NO_ESTANCIA","VIEW","TEXTO DIFERENTE","452","0"
"IV$P_NO_FAZENDA","VIEW","TEXTO DIFERENTE","476","0"
"IV$P_NO_FENO_E_FORRAGEM","VIEW","TEXTO DIFERENTE","433","0"
"IV$P_NO_FROTA","VIEW","TEXTO DIFERENTE","452","0"
"IV$P_NO_IMOVEL","VIEW","TEXTO DIFERENTE","408","0"
"IV$P_NO_IMPLEMENTO","VIEW","TEXTO DIFERENTE","448","0"
"IV$P_NO_IMPLEMENTOS","VIEW","TEXTO DIFERENTE","546","0"
"IV$P_NO_JOHN_DEERE","VIEW","TEXTO DIFERENTE","638","0"
"IV$P_NO_MAQUINA_IMPLEMENT","VIEW","TEXTO DIFERENTE","544","0"
"IV$P_NO_ORIGEM_DA_RECEIT","VIEW","TEXTO DIFERENTE","456","0"
"IV$P_NO_PLANTADEIRA","VIEW","TEXTO DIFERENTE","472","0"
"IV$P_NO_PLATAFORMA_ADICI","VIEW","TEXTO DIFERENTE","468","0"
"IV$P_NO_PROPRIEDADE_RURAL","VIEW","TEXTO DIFERENTE","493","0"
"IV$P_NO_PULVERIZADOR","VIEW","TEXTO DIFERENTE","464","0"
"IV$P_NO_SEGURO_DE_VIDA","VIEW","TEXTO DIFERENTE","416","0"
"IV$P_NO_SITIO","VIEW","TEXTO DIFERENTE","444","0"
"IV$P_NO_TIPO_CULTURA","VIEW","TEXTO DIFERENTE","400","0"
"IV$P_NO_TRATOR","VIEW","TEXTO DIFERENTE","455","0"
"IV$P_NO_TRATOR_MANUAL_FRO","VIEW","TEXTO DIFERENTE","522","0"
"IV$P_NO_TRATOR_SISDIA","VIEW","TEXTO DIFERENTE","640","0"
"IV$P_NO_TURF","VIEW","TEXTO DIFERENTE","425","0"
"IV$P_NO_VEICULO","VIEW","TEXTO DIFERENTE","512","0"
"IV$P_OPERATIONS_CENTER","VIEW","TEXTO DIFERENTE","394","0"
"IV$P_ORIGEM_DA_RECEITA","VIEW","TEXTO DIFERENTE","550","0"
"IV$P_PLANTADEIRA","VIEW","TEXTO DIFERENTE","468","0"
"IV$P_PLATAFORMA_ADICIONAL","VIEW","TEXTO DIFERENTE","464","0"
"IV$P_PULVERIZADOR","VIEW","TEXTO DIFERENTE","460","0"
"IV$P_SEGURO","VIEW","TEXTO DIFERENTE","770","0"
"IV$P_TRATOR","VIEW","TEXTO DIFERENTE","470","0"
"IV$P_TURF","VIEW","TEXTO DIFERENTE","399","0"
"IV$PESSOA_GEOSIGA","VIEW","TEXTO DIFERENTE","436","0"
"IV$PG_AGRICULTURA_PRECISAO","VIEW","TEXTO DIFERENTE","554","0"
"IV$PG_ALCADA","VIEW","TEXTO DIFERENTE","463","0"
