"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"8752","","12","3441","","772","1127","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8753","","5","3441","","772","1159","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8754","","15","3441","","772","1257","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8755","","10","3441","","772","1160","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8756","","18","3441","","772","1260","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8757","","7","3441","","772","1122","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8758","","1","3441","","772","1121","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8759","","13","3441","","772","1255","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8760","","17","3441","","772","1259","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8761","","16","3441","","772","1258","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8762","","","3442","","767","-15","Desistiu da Compra","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8763","","","3443","","767","-15","Venda Perdida","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8764","","","3445","Sem Pendência","809","0","Sem Pendência","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
