"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"34","87","SE_DESCON_ANTESPRAZO","01","[[DES_CONT]] < 1 and [[DES_CONT]] >= 0","[[DES_CONT]] [COR_FUNDO] #COR=32768","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"35","87","SE_DESCONT_FORAPRAZO","01","[[DES_CONT]] > 1","[[DES_CONT]] [COR_FUNDO] #COR=255","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"36","87","SE_DESCONT_NOPRAZO","01","[[DES_CONT]] = 1","[[DES_CONT]] [COR_FUNDO] #COR=65535","[[DES_CONT]] [COR_TEXTO] #COR=0"
"37","87","SE_CONF_ANTESPRAZO","01","[[CONF]] < 1 and [[CONF]] >= 0","[[CONF]] [COR_FUNDO] #COR=32768","[[CONF]] [COR_TEXTO] #COR=16777215"
"38","87","SE_CONF_FORAPRAZO","01","[[CONF]] > 1","[[CONF]] [COR_FUNDO] #COR=255","[[CONF]] [COR_TEXTO] #COR=16777215"
"39","87","SE_CONF_NOPRAZO","01","[[CONF]] = 1","[[CONF]] [COR_FUNDO] #COR=65535","[[CONF]] [COR_TEXTO] #COR=0"
"40","87","SE_PROG_ANTESPRAZO","01","[[PROG]] < 1 and [[PROG]] >= 0","[[PROG]] [COR_FUNDO] #COR=32768","[[PROG]] [COR_TEXTO] #COR=16777215"
"41","87","SE_PROG_FORAPRAZO","01","[[PROG]] > 1","[[PROG]] [COR_FUNDO] #COR=255","[[PROG]] [COR_TEXTO] #COR=16777215"
"42","87","SE_PROG_NOPRAZO","01","[[PROG]] = 1","[[PROG]] [COR_FUNDO] #COR=65535","[[PROG]] [COR_TEXTO] #COR=0"
"43","87","SE_FAT_ANTESPRAZO","01","[[FAT]] < 0 and [[FAT]] >= 0","[[FAT]] [COR_FUNDO] #COR=32768","[[FAT]] [COR_TEXTO] #COR=16777215"
