"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"640","940390"," ","12","","1","1","USR","421","EML","78","","","07/11/2017 11:05:57","BRUNA.FELICIO","11/12/2017 17:08:17","VANESSA.ALVES","","","","","","","","1","5","",""
"641","940390"," ","11","","1","1","USR","326","EML","78","","","07/11/2017 11:05:57","BRUNA.FELICIO","05/03/2020 12:56:26","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"642","940390"," ","5","","1","1","USR","326","EML","78","","","07/11/2017 11:05:56","BRUNA.FELICIO","05/03/2020 12:56:26","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"679","1136"," ","","","1","1","USR","231","EML","84","","","30/01/2018 09:52:23","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"680","1136"," ","","","1","1","USR","577","EML","84","","","30/01/2018 09:51:37","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"681","1136"," ","","","1","1","USR","239","EML","84","","","30/01/2018 09:51:13","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"682","1136"," ","1","","1","1","USR","242","EML","84","","","30/01/2018 09:50:40","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"683","1136"," ","11","","1","1","USR","245","EML","84","","","30/01/2018 09:50:05","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"684","1136"," ","3","","1","1","USR","243","EML","84","","","30/01/2018 09:49:36","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"685","1136"," ","2","","1","1","USR","244","EML","84","","","30/01/2018 09:49:02","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"687","1136"," ","","","1","1","USR","412","EML","84","","","30/01/2018 09:46:43","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"688","1136"," ","","","1","1","USR","-5","EML","84","","","30/01/2018 09:44:37","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"689","330"," ","7","","1","1","USR","247","EML","66","","","30/01/2018 10:07:54","VANESSA.ALVES","","","","","","","","","","1","5","",""
"690","330"," ","1","","1","1","USR","242","EML","66","","","30/01/2018 10:07:48","VANESSA.ALVES","","","","","","","","","","1","5","",""
"691","330"," ","11","","1","1","USR","245","EML","66","","","30/01/2018 10:07:10","VANESSA.ALVES","","","","","","","","","","1","5","",""
"692","918"," ","","","1","1","USR","231","EML","85","","","30/01/2018 10:10:31","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"693","918"," ","","","1","1","USR","577","EML","85","","","30/01/2018 10:10:06","DIEGO.MARQUES","","","","","","","","","","1","5","",""
"694","918"," ","1","","1","1","USR","242","EML","85","","","30/01/2018 10:09:18","DIEGO.MARQUES","","","","","","","","","","1","5","",""
